"Company name","Code",
"29METALS LIMITED","29M",
"LIFE360 INC.","360",
"5E ADVANCED MATERIALS INC.","5EA",
"THE A2 MILK COMPANY LIMITED","A2M",
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","AAC",
"AUSWIDE BANK LTD","ABA",
"AUSSIE BROADBAND LIMITED","ABB",
"ADBRI LIMITED","ABC",
"ABACUS PROPERTY GROUP","ABP",
"ETFS BATTERY TECH & LITHIUM ETF","ACDC",
"AUSTRALIAN CLINICAL LABS LIMITED","ACL",
"AUDINATE GROUP LIMITED","AD8",
"ADAIRS LIMITED","ADH",
"ADRIATIC METALS PLC","ADT",
"AUSTRALIAN ETHICAL INVESTMENT LIMITED","AEF",
"AUSTRALIAN FINANCE GROUP LTD","AFG",
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","AFI",
"ANGLOGOLD ASHANTI LIMITED","AGG",
"AGL ENERGY LIMITED.","AGL",
"AUCKLAND INTERNATIONAL AIRPORT LIMITED","AIA",
"ALLKEM LIMITED","AKE",
"AUDIO PIXELS HOLDINGS LIMITED","AKP",
"AMPOL LIMITED","ALD",
"ARISTOCRAT LEISURE LIMITED","ALL",
"ALS LIMITED","ALQ",
"ALTIUM LIMITED","ALU",
"ATLAS ARTERIA","ALX",
"AMCOR PLC","AMC",
"ANSELL LIMITED","ANN",
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","ANZ",
"AUSTRALIAN UNITY OFFICE FUND","AOF",
"APA GROUP","APA",
"EAGERS AUTOMOTIVE LIMITED","APE",
"APM HUMAN SERVICES INTERNATIONAL LIMITED","APM",
"APPEN LIMITED","APX",
"ARB CORPORATION LIMITED.","ARB",
"ARENA REIT.","ARF",
"ARGO INVESTMENTS LIMITED","ARG",
"AUSTAL LIMITED","ASB",
"AUTOSPORTS GROUP LIMITED.","ASG",
"BETASHARES ASIA TECHNOLOGY TIGERS ETF","ASIA",
"AUSTRALIAN STRATEGIC MATERIALS LIMITED","ASM",
"ASX LIMITED","ASX",
"BETASHARES S&P/ASX AUSTRALIAN TECHNOLOGY ETF","ATEC",
"AUB GROUP LIMITED","AUB",
"AURIZON HOLDINGS LIMITED","AZJ",
"BAPCOR LIMITED","BAP",
"BABY BUNTING GROUP LIMITED","BBN",
"BETASHARES AUSTRALIAN STRONG BEAR (HEDGE FUND)","BBOZ",
"BETASHARES AUSTRALIAN EQUITIES BEAR (HEDGE FUND)","BEAR",
"BENDIGO AND ADELAIDE BANK LIMITED","BEN",
"BSP FINANCIAL GROUP LIMITED","BFL",
"BEGA CHEESE LIMITED","BGA",
"BHP GROUP LIMITED","BHP",
"BLACKMORES LIMITED","BKL",
"BRICKWORKS LIMITED","BKW",
"BORAL LIMITED.","BLD",
"BEACON LIGHTING GROUP LIMITED","BLX",
"BOART LONGYEAR GROUP LTD","BLY",
"BOSS ENERGY LTD","BOE",
"BANK OF QUEENSLAND LIMITED.","BOQ",
"BEACH ENERGY LIMITED","BPT",
"BREVILLE GROUP LIMITED","BRG",
"BLUESCOPE STEEL LIMITED","BSL",
"BEST & LESS GROUP HOLDINGS LTD","BST",
"BWP TRUST","BWP",
"BRAMBLES LIMITED","BXB",
"CARSALES.COM LIMITED.","CAR",
"COMMONWEALTH BANK OF AUSTRALIA.","CBA",
"CREDIT CORP GROUP LIMITED","CCP",
"CITY CHIC COLLECTIVE LIMITED","CCX",
"CODAN LIMITED","CDA",
"CARINDALE PROPERTY TRUST","CDP",
"COSTA GROUP HOLDINGS LIMITED","CGC",
"CHALLENGER LIMITED","CGF",
"COGSTATE LTD","CGS",
"CHARTER HALL GROUP","CHC",
"CHALICE MINING LIMITED","CHN",
"CHAMPION IRON LIMITED","CIA",
"CENTURIA INDUSTRIAL REIT","CIP",
"COLLINS FOODS LIMITED","CKF",
"BETASHARES CLOUD COMPUTING ETF","CLDD",
"VANECK GLOBAL CLEAN ENERGY ETF","CLNE",
"CHARTER HALL LONG WALE REIT","CLW",
"CAPRICORN METALS LTD","CMM",
"VANECK CHINA NEW ECONOMY ETF","CNEW",
"CENTURIA CAPITAL GROUP","CNI",
"CHORUS LIMITED","CNU",
"CENTURIA OFFICE REIT","COF",
"COG FINANCIAL SERVICES LIMITED","COG",
"COCHLEAR LIMITED","COH",
"COLES GROUP LIMITED.","COL",
"COMPUTERSHARE LIMITED.","CPU",
"CHARTER HALL SOCIAL INFRASTRUCTURE REIT","CQE",
"CHARTER HALL RETAIL REIT","CQR",
"CORONADO GLOBAL RESOURCES INC.","CRN",
"BETASHARES CRYPTO INNOVATORS ETF","CRYP",
"CSL LIMITED","CSL",
"CSR LIMITED","CSR",
"CORPORATE TRAVEL MANAGEMENT LIMITED","CTD",
"CLINUVEL PHARMACEUTICALS LIMITED","CUV",
"CVC LIMITED","CVC",
"CEDAR WOODS PROPERTIES LIMITED","CWP",
"CLEANAWAY WASTE MANAGEMENT LIMITED","CWY",
"CALIX LIMITED","CXL",
"DALRYMPLE BAY INFRASTRUCTURE LIMITED","DBI",
"DICKER DATA LIMITED","DDR",
"DGL GROUP LIMITED","DGL",
"DOMAIN HOLDINGS AUSTRALIA LIMITED.","DHG",
"DOMINO'S PIZZA ENTERPRISES LIMITED","DMP",
"DOWNER EDI LIMITED","DOW",
"BETASHARES ELECTRIC VEHICLES AND FTR MOBILITY ETF","DRIV",
"DETERRA ROYALTIES LIMITED","DRR",
"DATA#3 LIMITED","DTL",
"DEVELOP GLOBAL LIMITED","DVP",
"DEXUS CONVENIENCE RETAIL REIT","DXC",
"DEXUS INDUSTRIA REIT.","DXI",
"DEXUS","DXS",
"EBOS GROUP LIMITED","EBO",
